,date,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
201,2024-03-28,4.791666666666667,90.17666666666666,107.79291666666666,893.43375,15.079583333333332,113.72541666666666,20.737083333333334,14.243333333333332
202,2024-03-29,5.0,101.61916666666667,125.55208333333333,1108.4479166666667,21.25166666666667,91.24,18.5125,14.540833333333333
203,2024-03-30,5.0,142.82708333333332,174.6,1305.3812500000001,26.132499999999997,86.11833333333334,18.527083333333334,23.572083333333335
204,2024-03-31,3.6666666666666665,65.64125,80.87791666666666,711.5204166666667,12.572916666666666,101.33208333333334,12.63875,15.451666666666668
205,2024-04-01,3.4583333333333335,45.24375,67.16583333333334,551.5808333333333,11.592083333333333,119.26875,16.1575,16.645833333333332
206,2024-04-02,4.375,59.78916666666667,77.70166666666667,630.7166666666667,12.083333333333334,139.02916666666667,17.653333333333332,17.208333333333332
207,2024-04-03,4.375,70.03833333333334,92.2275,749.6275,15.664166666666667,133.63333333333333,18.20416666666667,18.994583333333335
208,2024-04-04,4.333333333333333,69.18291666666667,95.39,774.1054166666667,16.3875,118.97166666666668,18.29375,18.515
209,2024-04-05,4.458333333333333,73.47875,97.45,738.3625000000001,15.356666666666667,122.68083333333334,18.239583333333332,17.846666666666668
210,2024-04-06,3.6666666666666665,52.168749999999996,73.22333333333334,580.37,10.115,114.575,12.188749999999999,13.738333333333335
211,2024-04-07,2.625,22.9875,33.33291666666667,455.75624999999997,9.034166666666666,89.48125,11.460833333333333,10.885
212,2024-04-08,3.875,49.15083333333333,69.07666666666667,800.39,19.92833333333333,96.26125,22.615,19.92875
213,2024-04-09,4.416666666666667,78.94041666666666,103.87416666666667,1077.5720833333332,24.760416666666668,99.68875000000001,26.77208333333333,23.683333333333334
214,2024-04-10,4.833333333333333,119.24624999999999,162.0275,1544.4558333333334,38.41041666666667,84.69291666666668,34.38708333333333,38.79208333333333
215,2024-04-11,4.333333333333333,92.42541666666666,117.78375,1086.7520833333333,22.377916666666668,117.65916666666668,24.215,23.430833333333336
216,2024-04-12,4.875,102.76458333333333,135.91,1273.67125,33.40208333333333,104.73333333333333,29.330416666666665,28.04958333333333
217,2024-04-13,5.0,109.60833333333333,137.31833333333333,1131.8129166666665,24.365,121.89208333333333,30.140416666666667,26.015416666666667
218,2024-04-14,4.666666666666667,84.82125,110.66583333333334,1147.94625,26.397499999999997,91.195,22.063333333333333,25.170833333333334
219,2024-04-15,5.0,97.95,128.05,1628.88,40.1,7.15,19.55,34.45
220,2024-04-16,3.869565217391304,45.748695652173915,60.40956521739131,722.1391304347826,15.726521739130433,119.1204347826087,16.48913043478261,17.520869565217392
221,2024-04-17,3.5,34.435833333333335,48.65375,526.965,11.313749999999999,129.13333333333333,15.530000000000001,15.128749999999998
222,2024-04-18,4.5,71.1125,95.47583333333334,1000.5229166666667,21.88416666666667,128.76125,23.270833333333332,23.18958333333333
223,2024-04-19,3.2083333333333335,28.422916666666666,38.61958333333333,483.71166666666664,9.0725,117.74833333333333,12.727916666666665,13.015416666666667
224,2024-04-20,2.6666666666666665,18.335,27.9475,384.40916666666664,7.110416666666667,103.325,9.851666666666667,11.597499999999998
225,2024-04-21,3.7083333333333335,31.468333333333334,46.70250000000001,460.90208333333334,8.83875,135.15291666666667,12.054583333333333,14.423333333333334
226,2024-04-22,3.375,33.812083333333334,47.334583333333335,474.95,9.4,123.1725,13.945,13.066249999999998
227,2024-04-23,3.2916666666666665,31.85875,46.41833333333333,542.6795833333333,11.624166666666667,117.8975,15.770000000000001,15.337083333333332
228,2024-04-24,3.7083333333333335,43.140416666666674,61.59916666666666,604.1520833333333,12.698333333333332,130.7575,18.15041666666667,16.74625
229,2024-04-25,4.0,47.74666666666667,67.62166666666667,617.0875,12.700416666666667,142.0375,19.73875,16.69625
230,2024-04-26,4.291666666666667,52.439166666666665,70.11083333333333,670.7695833333333,13.160833333333334,143.08166666666668,19.8975,17.920416666666664
231,2024-04-27,3.375,39.19416666666667,53.72833333333333,513.1954166666667,9.812083333333334,110.53666666666668,12.840416666666668,14.944166666666666
232,2024-04-28,3.4166666666666665,32.78041666666667,53.7275,469.9433333333333,9.56125,118.19625,11.969999999999999,13.907083333333333
233,2024-04-29,3.6666666666666665,41.9,67.85125000000001,536.9770833333333,11.550833333333335,134.73499999999999,17.00916666666667,15.421666666666667
234,2024-04-30,3.5833333333333335,39.250416666666666,68.49166666666666,477.17625,9.520833333333334,134.58708333333334,15.865833333333333,14.05625
235,2024-05-01,3.5416666666666665,34.6075,57.63625,516.3941666666666,12.445416666666667,130.83166666666668,16.744583333333335,15.030833333333334
236,2024-05-02,3.875,40.2425,57.82708333333333,582.8733333333333,12.3125,144.69041666666666,17.984583333333333,16.26625
237,2024-05-03,4.833333333333333,81.63125000000001,104.87083333333334,975.4904166666666,22.78916666666667,140.51833333333335,26.062083333333334,21.72
238,2024-05-04,5.0,106.9875,129.83833333333334,936.2691666666666,16.625416666666666,167.96541666666667,21.974166666666665,20.482083333333332
239,2024-05-05,4.208333333333333,69.74291666666666,94.63583333333334,762.2841666666667,15.494583333333333,118.58416666666666,17.516666666666666,18.952083333333334
240,2024-05-06,3.0833333333333335,31.332916666666666,43.19541666666667,462.01500000000004,8.685,107.86916666666667,16.361666666666668,9.753333333333332
241,2024-05-07,2.9166666666666665,25.763333333333335,33.0375,480.93041666666664,9.346666666666666,98.61625,15.865,8.77125
242,2024-05-08,3.4166666666666665,39.49458333333333,45.94166666666666,520.14875,10.053749999999999,116.85458333333334,16.2075,6.684583333333333
243,2024-05-09,4.708333333333333,83.13916666666667,92.6275,766.3166666666666,16.054583333333333,101.59625,25.251666666666665,7.390416666666667
244,2024-05-10,4.375,72.16916666666667,81.39416666666666,655.0533333333334,11.034583333333332,126.03416666666668,16.803333333333335,8.619583333333333
245,2024-05-11,4.333333333333333,70.11874999999999,77.69333333333333,652.5504166666667,8.502916666666666,141.68041666666667,14.613333333333335,6.4004166666666675
246,2024-05-12,3.4583333333333335,41.680416666666666,47.643750000000004,609.4383333333334,8.79125,114.2025,11.04625,8.040000000000001
247,2024-05-13,3.9583333333333335,55.0925,65.79958333333333,732.3825,12.856250000000001,114.99208333333333,16.129166666666666,10.006666666666666
248,2024-05-14,4.416666666666667,61.08416666666667,73.73416666666667,784.9533333333334,12.995416666666666,125.23,17.329166666666666,12.80625
249,2024-05-15,4.833333333333333,95.26208333333334,111.65125,878.6916666666666,14.415833333333333,141.2325,22.735,15.462083333333332
250,2024-05-16,5.0,120.30250000000001,151.09125,1214.1470833333333,25.327916666666667,122.41250000000001,26.499583333333334,22.728333333333335
251,2024-05-17,4.708333333333333,87.23291666666667,112.59916666666668,973.5425,20.26875,120.2075,21.865416666666665,19.926666666666666
252,2024-05-18,4.541666666666667,72.77208333333333,99.72208333333333,993.0141666666667,22.729166666666668,99.91208333333333,25.228333333333335,27.084999999999997
253,2024-05-19,4.916666666666667,88.08333333333333,107.10166666666667,749.6270833333333,10.884583333333333,143.79541666666668,20.582916666666666,15.884166666666667
254,2024-05-20,4.5,70.44583333333334,81.8375,631.4104166666667,8.619166666666667,149.57750000000001,21.020833333333332,9.90375
255,2024-05-21,3.625,51.38166666666667,59.456250000000004,551.5804166666667,9.020833333333334,119.43291666666666,16.58458333333333,7.160833333333333
256,2024-05-22,3.5833333333333335,43.75666666666667,50.03,532.11125,9.19875,115.55791666666666,15.380833333333333,5.465
257,2024-05-23,3.5833333333333335,48.361250000000005,55.43166666666667,528.7725,10.07375,107.28833333333334,15.4675,6.670833333333333
258,2024-05-24,4.041666666666667,66.83041666666666,78.83541666666666,596.0854166666667,10.949583333333335,120.34249999999999,18.056250000000002,9.9625
259,2024-05-25,4.041666666666667,66.80791666666667,78.6675,654.77625,9.94125,113.60583333333334,14.0225,11.790833333333333
260,2024-05-26,2.9583333333333335,34.192083333333336,42.750416666666666,800.80875,11.012083333333335,70.80958333333334,11.075000000000001,12.099166666666667
261,2024-05-27,2.5,22.748333333333335,32.0875,703.45375,14.325416666666667,59.02291666666667,12.920833333333334,11.1175
262,2024-05-28,4.208333333333333,55.29666666666666,69.39791666666666,693.8583333333332,11.187083333333334,135.31708333333333,17.7475,13.126666666666665
263,2024-05-29,4.583333333333333,88.41333333333334,106.88291666666667,746.8449999999999,10.040833333333333,158.28083333333333,18.283333333333335,10.819166666666668
264,2024-05-30,4.291666666666667,87.43875000000001,113.29458333333334,693.44,11.0525,137.24,17.310416666666665,10.518749999999999
265,2024-05-31,4.291666666666667,82.26208333333334,109.07416666666667,709.5733333333333,12.754583333333334,131.01166666666668,19.357083333333332,11.544583333333334
266,2024-06-01,3.875,59.45291666666666,77.60666666666667,556.0316666666666,8.461666666666666,123.47000000000001,14.52375,7.6433333333333335
267,2024-06-02,3.9166666666666665,62.242916666666666,75.37875,593.3033333333334,10.329166666666667,114.76875,14.847916666666668,6.4437500000000005
268,2024-06-03,4.75,92.605,120.22166666666668,729.3220833333334,13.537083333333333,134.19958333333332,21.855416666666667,12.849583333333333
269,2024-06-04,4.666666666666667,94.6225,111.46041666666667,711.52,10.566666666666666,144.24291666666667,20.17125,10.169583333333334
270,2024-06-05,3.875,63.71666666666667,79.21,660.6175,11.7875,116.17041666666667,18.060416666666665,10.020416666666668
271,2024-06-06,4.416666666666667,80.22958333333334,111.12875000000001,680.6445833333333,12.753333333333332,124.40916666666668,20.270416666666666,12.930833333333332
272,2024-06-07,4.833333333333333,101.98625,141.9775,924.7266666666668,19.532083333333333,121.23583333333333,24.249583333333334,18.582916666666666
273,2024-06-08,4.916666666666667,107.84499999999998,148.29708333333335,802.1991666666667,13.084166666666667,136.25708333333333,19.014583333333334,17.326666666666664
